X;Y;Z;procedure;descriptio;last_updat
4.841823;45.745529;0;BF10;Station de surveillance du bruit BF10;2012-11-08 07:00:00+01
4.870833;45.752464;0;BM16;Station de surveillance du bruit BM16;2011-03-27 08:00:00+02
4.844563;45.752066;0;CF22-1;Station de surveillance du bruit CF22-1;2018-11-02 07:00:00+01
4.844662;45.752201;0;CF22-2;Station de surveillance du bruit CF22-2;2018-11-02 07:00:00+01
4.908381;45.733604;0;BF08;Station de surveillance du bruit BF08;2018-11-02 07:00:00+01
4.802922;45.763374;0;BF12;Station de surveillance du bruit BF12;2018-11-03 07:00:00+01
4.877132;45.733908;0;BF07;Station de surveillance du bruit BF07;2018-11-02 07:00:00+01
4.748802;45.784946;0;BF09;Station de surveillance du bruit BF09;2018-11-02 07:00:00+01
4.830864;45.757694;0;CF18;Station de surveillance du bruit CF18;2018-11-03 07:00:00+01
4.901115;45.721588;0;CF19;Station de surveillance du bruit CF19;2018-09-20 08:00:00+02
4.851684;45.763386;0;CF20;Station de surveillance du bruit CF20;2018-11-02 07:00:00+01
4.836813;45.772568;0;CF21;Station de surveillance du bruit CF21;2018-11-02 07:00:00+01
4.842827;45.755319;0;AF02;Station de surveillance du bruit AF02;2018-11-02 07:00:00+01
4.879509;45.769519;0;BF06;Station de surveillance du bruit BF06;2018-11-02 07:00:00+01
4.979684;45.731628;0;BM17;Station de surveillance du bruit BM17;2018-11-03 07:00:00+01
4.836747;45.746796;0;AF01;Station de surveillance du bruit AF01;2018-11-02 07:00:00+01
4.949066;45.739967;0;BF13;Station de surveillance du bruit BF13;2018-09-01 08:00:00+02
4.890329;45.828495;0;BF11;Station de surveillance du bruit BF11;2017-12-14 07:00:00+01
4.853783;45.704617;0;DF23;Station de surveillance du bruit DF23;2018-01-17 07:00:00+01
4.84473;45.665294;0;AF03;Station de surveillance du bruit AF03;2018-10-21 08:00:00+02
